url,label
"http://secure-login.bank-update.com",phishing
"http://paypal.verify-account-security.com",phishing
"http://win-free-iphone-now.com",phishing
"http://reset-password-online.net",phishing
"http://claim-tax-refund-govt.info",phishing
"http://freegiftcards-reward.org",phishing
"http://lottery-winner-claim.co",phishing
"http://account-update-login.net",phishing
"http://security-check-verification.com",phishing
"http://login.yourbank.secure-update.org",phishing
"http://confirm-payments-now.com",phishing
"http://getrichquick-investment.net",phishing
"http://suspicious-activity-alert.org",phishing
"http://unlock-account-now.com",phishing
"http://verification-required-service.co",phishing
"http://urgent-update-info.net",phishing
"http://creditcard-verification.org",phishing
"http://secure-billing-update.com",phishing
"http://onlinebanking-login-verify.net",phishing
"http://phishing-link-example.com",phishing
"https://www.google.com",legitimate
"https://www.wikipedia.org",legitimate
"https://www.github.com",legitimate
"https://www.stackoverflow.com",legitimate
"https://www.microsoft.com",legitimate
"https://www.apple.com",legitimate
"https://www.amazon.in",legitimate
"https://www.flipkart.com",legitimate
"https://www.udemy.com",legitimate
"https://www.coursera.org",legitimate
"https://www.openai.com",legitimate
"https://www.khanacademy.org",legitimate
"https://www.airbnb.com",legitimate
"https://www.booking.com",legitimate
"https://www.uber.com",legitimate
"https://www.olacabs.com",legitimate
"https://www.icicibank.com",legitimate
"https://www.sbi.co.in",legitimate
"https://www.hdfcbank.com",legitimate
"https://www.irctc.co.in",legitimate
"https://www.redbus.in",legitimate
